City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,ponte vedra beach,30.2397,-81.3856,30.01,79,40,4.63,US,1718322311
203,nantucket,41.2835,-70.0995,21.12,93,0,4.63,US,1718322311
204,saldanha,-33.0117,17.9442,11.03,71,0,3.24,ZA,1718322311
205,kazanskoye,55.6448,69.235,19.22,93,69,2.94,RU,1718322311
206,markaz-e woluswali-ye achin,34.1258,70.7078,27.27,24,2,2.32,AF,1718322311
207,bryne,58.7354,5.6477,10.55,84,75,2.06,NO,1718322311
208,usogorsk,63.4106,48.6872,17.59,94,100,2.13,RU,1718322232
209,whitehorse,60.7161,-135.0538,20.61,25,20,2.06,CA,1718322197
210,fremont,37.5483,-121.9886,28.12,58,0,8.23,US,1718322014
211,bodaybo,57.8506,114.1933,19.95,62,26,0.98,RU,1718322236
212,umluj,25.0213,37.2685,30.08,53,5,3.11,SA,1718322311
213,summerside,46.3959,-63.7876,21.19,64,68,6.69,CA,1718322311
214,rawson,-43.3002,-65.1023,10.13,82,34,3.73,AR,1718322228
215,havelberg,52.8309,12.0755,12.2,86,94,3.18,DE,1718322311
216,oranjemund,-28.55,16.4333,15.13,67,1,1.41,NA,1718322244
217,al jawf,29.5,38.75,29.18,15,0,3.44,SA,1718322311
218,ust-nera,64.5667,143.2,16.12,52,90,0.81,RU,1718322205
219,daru,-9.0763,143.2092,25.27,80,98,6.67,PG,1718322311
220,robertsport,6.7533,-11.3686,25.72,87,100,4.19,LR,1718322311
221,curaca,-8.9903,-39.9094,23.22,78,77,7.87,BR,1718322311
222,dapa,9.7594,126.0531,28.77,73,58,1.28,PH,1718322311
223,geraldton,-28.7667,114.6,12.23,87,68,2.06,AU,1718322088
224,muhos,64.808,25.9931,10.5,93,11,0.93,FI,1718322311
225,tura,25.5198,90.2201,24.1,97,89,3.16,IN,1718322193
226,la passe,45.5549,-0.8967,16.13,93,100,8.31,FR,1718322210
227,chongqing,29.5628,106.5528,26.79,94,96,3.0,CN,1718322311
228,kashgar,39.4547,75.9797,21.56,28,0,2.0,CN,1718322311
229,holly springs,35.6513,-78.8336,28.75,54,98,1.34,US,1718322279
230,dudinka,69.4058,86.1778,5.93,96,100,4.02,RU,1718322043
231,soanierana ivongo,-16.9167,49.5833,22.36,90,65,1.74,MG,1718322311
232,waslala,13.2333,-85.3833,26.08,91,100,1.18,NI,1718322311
233,burutu,5.3509,5.5076,25.61,92,100,2.57,NG,1718322311
234,jianshui,23.6363,102.8264,21.71,90,100,1.92,CN,1718322311
235,santa ana,33.7456,-117.8678,31.64,55,20,5.66,US,1718322311
236,akureyri,65.6835,-18.0878,13.96,58,0,3.09,IS,1718322312
237,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1718321840
238,bukittinggi,-0.3091,100.3706,19.4,98,91,0.52,ID,1718322312
239,ad dilam,23.9915,47.1627,34.23,16,57,2.82,SA,1718322312
240,timimoun,29.2639,0.231,35.21,10,0,2.06,DZ,1718322312
241,tsuyama,35.05,134.0,24.46,62,0,0.91,JP,1718322312
242,krasnogorskoye,52.2953,86.1979,15.61,94,20,0.34,RU,1718322232
243,birao,10.2849,22.7882,24.91,74,93,1.52,CF,1718322312
244,vilyuchinsk,52.9306,158.4028,8.85,98,100,3.79,RU,1718322202
245,ancud,-41.8697,-73.8203,9.5,89,100,3.43,CL,1718322247
246,yamaguchi,34.1858,131.4714,24.15,67,0,3.51,JP,1718322312
247,nar'yan-mar,67.6713,53.087,8.95,84,82,4.02,RU,1718322233
248,ampanihy,-24.7,44.75,18.08,98,25,1.92,MG,1718322312
249,la ronge,55.1001,-105.2842,16.14,63,75,4.12,CA,1718322197
250,avanigadda,16.0215,80.9181,27.75,81,100,2.87,IN,1718322312
251,floro,61.5996,5.0328,10.04,81,75,2.57,NO,1718322312
252,tomatlan,19.9333,-105.25,30.07,58,44,3.9,MX,1718322197
253,la'ie,21.6477,-157.9253,29.98,73,34,4.02,US,1718322312
254,mil'kovo,55.6078,37.7956,15.78,95,100,5.64,RU,1718322226
255,al bawiti,28.3492,28.8659,28.47,32,0,4.26,EG,1718322214
256,penzance,50.1186,-5.5371,13.38,88,90,9.22,GB,1718322312
257,grenaa,56.4158,10.8783,11.12,93,100,3.42,DK,1718322312
258,kirakira,-10.4544,161.9205,28.45,74,46,2.98,SB,1718322208
259,ojinaga,29.5667,-104.4167,35.32,48,100,7.2,MX,1718322141
260,qaqortoq,60.7167,-46.0333,0.12,91,16,2.91,GL,1718322200
261,agat village,13.3886,144.6585,29.09,87,0,3.13,GU,1718322312
262,rokiskis,55.9667,25.5833,10.41,92,100,2.18,LT,1718322312
263,seydi,39.4816,62.9137,26.12,26,84,6.6,TM,1718322312
264,uray,60.1247,64.7758,20.49,77,45,2.24,RU,1718322312
265,sola,-13.8833,167.55,25.95,77,84,6.16,VU,1718322250
266,soroti,1.7146,33.6111,19.2,90,74,1.15,UG,1718322312
267,fale old settlement,-9.3852,-171.2468,28.55,78,100,6.31,TK,1718322206
268,dhuusamarreeb,5.535,46.3861,24.6,71,83,8.39,SO,1718322312
269,udachny,66.4167,112.4,11.36,85,100,3.6,RU,1718322227
270,uyskoye,54.3775,60.0047,18.37,68,2,1.14,RU,1718322200
271,tikhvin,59.6451,33.5294,8.45,78,100,2.12,RU,1718322313
272,souillac,-20.5167,57.5167,24.21,83,75,7.2,MU,1718322313
273,agogo,6.8,-1.0819,21.56,98,84,2.44,GH,1718322313
274,palu,-0.8917,119.8707,24.51,98,100,0.31,ID,1718322313
275,mana,5.6592,-53.7767,25.67,90,95,3.66,GF,1718322207
276,akkol',48.7833,53.2,24.99,44,79,0.75,KZ,1718322313
277,peringat,6.0333,102.2833,26.97,83,20,1.54,MY,1718322313
278,sumbawa besar,-8.5,117.4333,25.87,76,40,1.06,ID,1718322313
279,ko pha ngan,9.7578,100.0291,26.38,74,92,5.23,TH,1718322313
280,egilsstadir,65.2653,-14.3948,8.95,66,40,5.14,IS,1718322213
281,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1718322201
282,kralendijk,12.15,-68.2667,28.99,79,40,6.69,BQ,1718322313
283,charlton kings,51.8837,-2.0424,12.94,89,100,1.79,GB,1718322313
284,st. john's,47.5649,-52.7093,14.04,88,0,0.89,CA,1718321966
285,urzhar,47.093,81.6294,16.56,66,22,1.09,KZ,1718322217
286,putina,-15.4667,-69.4333,10.59,35,47,2.46,PE,1718322313
287,padangsidempuan,1.3667,99.2667,22.3,99,100,0.37,ID,1718322313
288,yaren,-0.5472,166.916,29.32,70,75,4.86,NR,1718322210
289,klaksvik,62.2266,-6.589,9.51,81,14,9.13,FO,1718322313
290,yambio,4.5721,28.3955,20.19,92,30,1.01,SS,1718322313
291,kavieng,-2.5744,150.7967,28.18,75,100,1.85,PG,1718322313
292,itoman,26.1247,127.6694,28.21,96,75,8.75,JP,1718322241
293,tamanrasset,22.785,5.5228,27.95,14,47,2.57,DZ,1718322197
294,huatabampo,26.8333,-109.6333,31.31,59,0,4.6,MX,1718322313
295,lucapa,-8.4192,20.7447,17.53,51,4,1.95,AO,1718322313
296,chivhu,-19.0211,30.8922,5.84,68,0,3.07,ZW,1718322313
297,anadyr,64.75,177.4833,4.28,93,75,6.0,RU,1718322198
298,soe,-9.8607,124.284,20.4,70,100,1.41,ID,1718322313
299,sokol,59.4617,40.1206,13.6,96,100,3.0,RU,1718322313
300,puerto madryn,-42.7692,-65.0385,11.33,84,53,2.86,AR,1718322291
301,fada,9.5667,8.3,21.85,91,79,1.28,NG,1718322313
302,kapa'a,22.0752,-159.319,30.99,75,20,6.17,US,1718322205
303,hassi messaoud,31.6804,6.0729,29.92,32,84,2.57,DZ,1718322314
304,bodo,67.28,14.405,11.54,92,4,2.06,NO,1718322314
305,inari,68.906,27.0288,8.11,85,48,1.15,FI,1718322314
306,goba,7.0167,39.9833,9.7,90,97,2.2,ET,1718322314
307,kangding,30.0513,101.9603,15.19,91,100,0.8,CN,1718322208
308,uzhur,55.3036,89.8339,16.37,73,7,0.49,RU,1718322314
309,illizi,26.4833,8.4667,34.77,9,0,6.76,DZ,1718322239
310,mili,6.0815,171.735,27.86,76,100,5.89,MH,1718322314
311,villa bruzual,9.3328,-69.1208,25.12,82,29,0.63,VE,1718322314
312,labytnangi,66.6572,66.4183,10.77,88,73,4.09,RU,1718322314
313,nuuk,64.1835,-51.7216,9.34,53,15,6.17,GL,1718322038
314,yeppoon,-23.1333,150.7333,17.92,62,1,1.75,AU,1718322314
315,tottori,35.5,134.2333,27.04,61,0,1.03,JP,1718322314
316,colonia,50.9333,6.95,15.87,62,0,3.6,DE,1718322196
317,starokozache,46.3372,29.9853,16.98,94,78,2.0,UA,1718322314
318,guozhen,34.3659,107.359,28.81,36,50,3.32,CN,1718322314
319,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1718322314
320,tsiombe,-25.3,45.4833,19.22,95,4,1.69,MG,1718322229
321,saint-leu,-21.15,55.2833,23.46,72,73,2.66,RE,1718322314
322,nkongsamba,4.9547,9.9404,20.65,99,100,0.42,CM,1718322314
